"SOCC Verison
mc2-4x4",baseline-float,,,baseline-fixed,,,,,,,SOCC Verison,model,mc2_4x4,mc4_4x4,mc4_8x8,mc8_8x8,,,,,,,,,,,,,,,,,,,,,,,
lenet-randome,21178213,18525122,16199367,5849232,,5373406,,4857909,,,,lenetlayers,21701,21631,6192,5528,,,,,,,,,,,,,,,,,,,,,,,
lenet-trained,21458990,17473331,14590875,5840312,,4803903,,3741965,,,,,3644,3557,1055,924,,,,,,,,,,,,,,,,,,,,,,,
vgg-random,627890641,493926234,438820706,172494247,,131426276,,124826079,,,,,18728,17057,9227,4816,,,,,,,,,,,,,,,,,,,,,,,
darknet64,13739180266,11861466407,9906869199,4193610478,,3909065297,,2480505268,,,,,1260,1242,385,360,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3870,2786,2146,1363,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,873,761,643,373,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,145,117,172,128,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,Float BTs,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,o0 baseline,21458990,16596952,26586230,21362724,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,o1 aff,17824032,13827072,22074900,17780024,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,Eval_Mode,Sorting_Mode,NoC_Size,Test_Case,total_bit_transition_float,total_bit_transition_fixed,,,,Model,Eval_Mode,Sorting_Mode,NoC_Size,Test_Case,total_bit_transition_float,total_bit_transition_fixed,compared with data-if float-based ordein,,,Model,Eval_Mode,Sorting_Mode,NoC_Size,Test_Case,total_bit_transition_float,total_bit_transition_fixed,,,,Model,Eval_Mode,Sorting_Mode,NoC_Size,Test_Case,total_bit_transition_float,total_bit_transition_fixed,,,
DarkNet-19,randomeval,float,4mc_8x8,case7_affiliatedordering_PartialBusInvert,10047061417,1650055754,-15.66558468,102.0922698,,DarkNet-19,randomeval,fixed,4mc_8x8,case7_affiliatedordering_PartialBusInvert,10054702262,1616239659,100.0760505,-55.73938762,,DarkNet-19,fulleval,float,4mc_8x8,case7_affiliatedordering_PartialBusInvert,8083320665,648512963,-21.04517995,134.6315962,,DarkNet-19,fulleval,fixed,4mc_8x8,case7_affiliatedordering_PartialBusInvert,7925217612,481694477,98.04408288,-38.467499,
DarkNet-19,randomeval,float,4mc_8x8,case8_seperratedordering_TACOall128BitInvert,8762761878,2219969996,-26.44591599,117.5394881,,DarkNet-19,randomeval,fixed,4mc_8x8,case8_seperratedordering_TACOall128BitInvert,8954021367,1888701433,102.1826394,-48.2780406,,DarkNet-19,fulleval,float,4mc_8x8,case8_seperratedordering_TACOall128BitInvert,7671877259,1934789453,-25.06400358,428.1843423,,DarkNet-19,fulleval,fixed,4mc_8x8,case8_seperratedordering_TACOall128BitInvert,7668301904,451858992,99.95339661,-6.19386072,
DarkNet-19,randomeval,float,4mc_8x8,case9_seperratedordering_PartialBusInvert,8611174060,1465802156,-27.7183348,103.5299619,,DarkNet-19,randomeval,fixed,4mc_8x8,case9_seperratedordering_PartialBusInvert,8732616659,1415824105,101.4102908,-61.22775384,,DarkNet-19,fulleval,float,4mc_8x8,case9_seperratedordering_PartialBusInvert,7407563099,553883231,-27.64572436,152.8937816,,DarkNet-19,fulleval,fixed,4mc_8x8,case9_seperratedordering_PartialBusInvert,7341488182,362266683,99.10800737,-19.82749278,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DarkNet-19,randomeval,float,8mc_8x8,case1_default,9650001766,2938080117,0,100,,DarkNet-19,randomeval,fixed,8mc_8x8,case1_default,9650001766,2938080117,100,0,,DarkNet-19,fulleval,float,8mc_8x8,case1_default,8328668478,1927958644,0,100,,DarkNet-19,fulleval,fixed,8mc_8x8,case1_default,8328668478,1927958644,100,0,
DarkNet-19,randomeval,float,8mc_8x8,case2_TACOall128BitInvert,9345317842,2658062875,-3.157345785,100,,DarkNet-19,randomeval,fixed,8mc_8x8,case2_TACOall128BitInvert,9345317842,2658062875,100,-9.530619685,,DarkNet-19,fulleval,float,8mc_8x8,case2_TACOall128BitInvert,8150551600,1700666600,-2.138599687,100,,DarkNet-19,fulleval,fixed,8mc_8x8,case2_TACOall128BitInvert,8150551600,1700666600,100,-11.78925931,
DarkNet-19,randomeval,float,8mc_8x8,case3_PartialBusInvert,8851375500,1549823631,-8.27591834,100,,DarkNet-19,randomeval,fixed,8mc_8x8,case3_PartialBusInvert,8851375500,1549823631,100,-47.25046393,,DarkNet-19,fulleval,float,8mc_8x8,case3_PartialBusInvert,7506201554,553032092,-9.875131015,100,,DarkNet-19,fulleval,fixed,8mc_8x8,case3_PartialBusInvert,7506201554,553032092,100,-67.48145157,
DarkNet-19,randomeval,float,8mc_8x8,case4_affiliatedordering,8389186074,2748741663,-13.06544519,110.3246065,,DarkNet-19,randomeval,fixed,8mc_8x8,case4_affiliatedordering,8406004916,2491503710,100.2004824,-15.19959937,,DarkNet-19,fulleval,float,8mc_8x8,case4_affiliatedordering,6951388502,1791895800,-16.53661662,282.4145926,,DarkNet-19,fulleval,fixed,8mc_8x8,case4_affiliatedordering,6811671616,634491222,97.99008664,14.72954846,
DarkNet-19,randomeval,float,8mc_8x8,case5_seperratedordering,7045387485,1787712941,-26.99081663,117.6161911,,DarkNet-19,randomeval,fixed,8mc_8x8,case5_seperratedordering,7200120558,1519954799,102.1962323,-48.26707447,,DarkNet-19,fulleval,float,8mc_8x8,case5_seperratedordering,6170323190,1558214204,-25.91465003,422.8804609,,DarkNet-19,fulleval,fixed,8mc_8x8,case5_seperratedordering,6169550389,368476283,99.98747552,-41.92570831,
DarkNet-19,randomeval,float,8mc_8x8,case6_affiliatedordering_TACOall128BitInvert,8389353068,2612487937,-13.06371469,107.0722792,,DarkNet-19,randomeval,fixed,8mc_8x8,case6_affiliatedordering_TACOall128BitInvert,8405982978,2439929322,100.1982264,-16.95497655,,DarkNet-19,fulleval,float,8mc_8x8,case6_affiliatedordering_TACOall128BitInvert,6951043902,1757240648,-16.54075414,276.489723,,DarkNet-19,fulleval,fixed,8mc_8x8,case6_affiliatedordering_TACOall128BitInvert,6810404206,635553694,97.97671115,72.48157434,
DarkNet-19,randomeval,float,8mc_8x8,case7_affiliatedordering_PartialBusInvert,8076106072,1326509643,-16.30979695,102.0843884,,DarkNet-19,randomeval,fixed,8mc_8x8,case7_affiliatedordering_PartialBusInvert,8083579202,1299424588,100.0925338,-55.77300359,,DarkNet-19,fulleval,float,8mc_8x8,case7_affiliatedordering_PartialBusInvert,6499723674,521743490,-21.95963027,134.2715764,,DarkNet-19,fulleval,fixed,8mc_8x8,case7_affiliatedordering_PartialBusInvert,6375572516,388573296,98.08990098,-38.86066596,
DarkNet-19,randomeval,float,8mc_8x8,case8_seperratedordering_TACOall128BitInvert,7045109691,1785486977,-26.99369532,117.4656673,,DarkNet-19,randomeval,fixed,8mc_8x8,case8_seperratedordering_TACOall128BitInvert,7201196122,1520007521,102.2155288,-48.26528003,,DarkNet-19,fulleval,float,8mc_8x8,case8_seperratedordering_TACOall128BitInvert,6169804148,1556533624,-25.92088202,422.2217715,,DarkNet-19,fulleval,fixed,8mc_8x8,case8_seperratedordering_TACOall128BitInvert,6169172028,368653094,99.98975462,-5.126497936,
DarkNet-19,randomeval,float,8mc_8x8,case9_seperratedordering_PartialBusInvert,6922732547,1178685313,-28.26185202,103.5312432,,DarkNet-19,randomeval,fixed,8mc_8x8,case9_seperratedordering_PartialBusInvert,7022546984,1138482719,101.4418358,-61.25079393,,DarkNet-19,fulleval,float,8mc_8x8,case9_seperratedordering_PartialBusInvert,5956447994,445383942,-28.48258987,152.1415907,,DarkNet-19,fulleval,fixed,8mc_8x8,case9_seperratedordering_PartialBusInvert,5906247137,292743056,99.15720146,-20.5911843,
